#  rotated ellipses. x y a b phi
# center.x center.y a b phi
# coordinates in pixels and angle in radians
583.10810810810810000000 410.27027027027026000000 15.61088661357653400000 13.63526236782035500000 -1.20892970243722160000
494.91803278688520000000 414.91803278688520000000 16.28420432337978000000 14.35994458902396400000 -1.27054301873306930000
399.67213114754094000000 419.83606557377044000000 16.84820064843807700000 15.54872878869429300000 -1.15276453623626130000
296.39344262295080000000 425.40983606557376000000 18.19247476664210300000 17.04366241098047000000 -0.75541839263073250000
540.73770491803270000000 364.99999999999994000000 15.97372540304276700000 14.35760503564501700000 -1.17550751987145460000
448.64570589674577000000 367.63273794959630000000 16.66168549965893000000 15.79603325509612500000 -1.18008316500135210000
349.40298507462680000000 370.67164179104475000000 17.35535968196435500000 16.46008829173215200000 -1.12965728292557500000
241.04477611940297000000 374.17910447761193000000 18.62803765926444700000 17.56127293144203300000 -0.99268750118024610000
584.81818181818180000000 316.81818181818180000000 15.37250954095578000000 13.92364063724146000000 -1.28006411325317430000
496.45454545454550000000 317.27272727272725000000 16.20962880869587000000 15.30219019596170700000 -1.31175195287393850000
400.54545454545456000000 318.00000000000000000000 17.10565128210919600000 16.08371693400574300000 -1.26931909219088170000
296.36363636363640000000 319.18181818181820000000 17.91001382024375000000 17.91001382024375000000 -1.25065090745632900000
542.20000000000000000000 268.40000000000000000000 15.89276564981684500000 14.29475428260312600000 -1.28341748298345700000
450.00000000000000000000 267.40000000000000000000 16.64331697709321000000 15.71655178466317800000 -1.23873774089323980000
349.79999999999995000000 266.10000000000000000000 17.63093871579160800000 17.63093871579160800000 -1.37673779571501600000
240.30000000000000000000 264.80000000000000000000 18.54211422680811300000 18.54211422680811300000 0.94239655106447320000
587.14285714285710000000 221.42857142857142000000 15.99289261628928000000 14.11785994032223000000 -1.51237023070458430000
498.05970149253730000000 218.05970149253730000000 16.72990527325891500000 15.15586944729654400000 1.53663189070073410000
401.26865671641790000000 214.70149253731340000000 17.39590496259356600000 16.19832806291628600000 1.53955563632797340000
296.64179104477614000000 210.97014925373134000000 18.04828799325958000000 17.48276687046684000000 0.16305134854335693000
